"SBS1" "SBS5" "SBS40" "SBS12" "SBS16" "Stan_sig" "N2"
"PD52286b_lo0009" 0.0677577304699598 0.308215523965396 0.235608835472122 0.0825257628255139 0.221026946168085 0.0488001736604683 0.0360650274384548
"PD52286b_lo0011" 0.0570530914182728 0.214140265442069 0.254059131353415 0.0862143187136715 0.140125751407529 0.0657025357972445 0.182704905867798
"PD52286b_lo0012" 0.043180910313086 0.243664354457927 0.262283203129884 0.143481238600317 0.182821087455299 0.0544642134724741 0.0701049925710135
"PD52286b_lo0014" 0.0432990672417398 0.252247790635458 0.234542929912889 0.101350156481267 0.10711290945829 0.0611082128406077 0.20033893342975
"PD52286b_lo0015" 0.0631170258277448 0.353524212253056 0.176410025524236 0.0560765692423446 0.118898151619775 0.0930672094250545 0.138906806107789
"PD52286b_lo0017" 0.0588955297275698 0.226109591567457 0.223941426802354 0.0975236839837216 0.206179352255716 0.0611302380241539 0.126220177639028
"PD52286b_lo0018" 0.0623467697927521 0.190487382596447 0.230798352227413 0.158140282932694 0.250680596258283 0.0584594920431125 0.0490871241492979
"PD52286b_lo0021" 0.0415457465514926 0.312184570611635 0.359775875663961 0.0912338360552464 0.0609468362740454 0.063298495222357 0.0710146396212627
"PD52286b_lo0022" 0.0345211829051151 0.37797716262413 0.299877499371182 0.0485101436912827 0.115844520794112 0.0455542273766376 0.077715263237541
"PD52286b_lo0023" 0.0449819234318612 0.383563106644866 0.303950512695401 0.0771450074771623 0.0852650125485862 0.0447818273537711 0.0603126098483517
"PD52286b_lo0025" 0.0451594561802136 0.334991793839874 0.239355077021684 0.0527132954491564 0.139220667447126 0.0606586466941923 0.127901063367753
"PD52286b_lo0028" 0.0599248925897781 0.343709702522335 0.25370498836927 0.0911827823348376 0.120365764886778 0.0602617854915495 0.0708500838054517
"PD52286b_lo0031" 0.074845663022528 0.215450169355043 0.218069212510403 0.0687490362551343 0.216022303467475 0.123501558860064 0.0833620565293523
"PD52286b_lo0032" 0.060564659546707 0.303098437824584 0.31940588865707 0.0691147523520277 0.135568385162128 0.0388726729926256 0.073375203464858
"PD52286b_lo0036" 0.0454294652608478 0.211715477600881 0.447150314920425 0.0903682737529694 0.0807617968650678 0.0380842602813035 0.0864904113185054
"PD52286b_lo0037" 0.0543023604564666 0.375424412517262 0.300632100104454 0.0460395056342736 0.129808095703603 0.0354966800514212 0.0582968455325196
"PD52286b_lo0038" 0.0579638015641757 0.200160380755552 0.190537531281391 0.0971198142750782 0.245789282290147 0.063974124300255 0.144455065533401
"PD60232b_lo0001" 0.0684793548606585 0.234309185127212 0.421684170627334 0.0824875182635695 0.0764733448893277 0.0682799662517933 0.0482864599801049
"PD60232b_lo0002" 0.210298192759441 0.338823412001935 0.232137783836175 0.0721946601221822 0.0654765264998282 0.037903837543668 0.0431655872367705
"PD60232b_lo0003" 0.0268161383604694 0.311226169792365 0.26498601437374 0.0385869077735264 0.0694724802660463 0.0386371113329439 0.250275178100909
"PD60232b_lo0004" 0.0618631735281598 0.201052548787686 0.31703707261856 0.110389410177821 0.117402754507024 0.044425757228661 0.147829283152088
"PD60232b_lo0005" 0.0246422150826197 0.235449782702157 0.379600587820682 0.0250722620972506 0.0623561916668662 0.182794886614077 0.0900840740163469
"PD60232b_lo0006" 0.0480884697502983 0.150828922891586 0.449361115314018 0.0755923980302035 0.0764342876265335 0.0617717755446379 0.137923030842723
"PD60232b_lo0007" 0.0605748015563391 0.149482637104429 0.429478820532842 0.0433414996177741 0.0538327233003293 0.126419433693228 0.136870084195058
"PD60232b_lo0008" 0.0590719355553678 0.297177496285688 0.314723469992272 0.0426827058115381 0.0862636427120941 0.139693414573878 0.0603873350691621
"PD60232b_lo0009" 0.0376648101118689 0.448098894663907 0.263243805277026 0.0405414698052072 0.0368427628125444 0.111507796008661 0.0621004613207857
"PD60232b_lo0010" 0.104490896390298 0.264467541745739 0.284156842641047 0.0334801454258536 0.0869910128338096 0.0201883926210206 0.206225168342232
"PD60232b_lo0011" 0.091575746737816 0.197510690512919 0.404554813476676 0.0403685662783291 0.079914574281073 0.0339978473431663 0.152077761370021
